797.65,792.03,797.40,787.05
784.98,797.62,801.39,783.40
799.26,803.97,812.34,793.55
822.18,811.17,822.30,814.68
829.10,820.49,833.80,819.91
833.18,815.68,830.98,812.99
815.78,800.71,814.90,817.64
816.02,830.39,824.60,821.64
816.20,822.28,823.22,818.88
813.16,823.56,821.77,817.35
810.16,825.91,821.00,811.45
807.64,819.29,816.35,812.38
810.46,798.98,807.99,801.49
813.63,821.68,823.00,820.17
810.75,825.41,818.73,815.96
805.58,806.42,806.02,804.64
798.63,815.29,808.68,803.14
797.58,801.50,808.97,788.37
802.41,814.54,810.76,800.75
815.72,811.59,814.01,812.42
819.85,819.64,826.29,808.14
832.43,823.98,830.74,823.43
827.98,838.45,830.88,833.26
833.71,826.17,830.39,819.80
828.36,829.08,829.36,822.53
831.14,841.89,841.87,836.96
841.22,838.10,839.68,831.17
829.22,840.69,837.03,831.52
838.13,837.10,842.50,831.93
829.58,831.71,833.51,833.11
843.26,832.31,844.52,830.22
839.34,851.65,853.91,837.78
857.28,854.25,857.77,851.26
858.21,852.14,854.38,856.06
833.08,858.95,873.00,833.28
811.88,837.01,843.23,812.41
818.64,825.02,824.47,819.88
811.60,806.44,809.84,804.62
797.06,793.06,794.79,791.18
817.13,825.48,825.36,813.45
818.14,819.92,817.92,807.97
845.49,828.02,848.22,827.39
808.68,808.59,804.48,804.24
829.73,833.49,832.46,826.04
836.26,835.57,841.42,839.02
841.98,828.70,842.29,836.05
841.10,841.84,842.26,835.41
840.34,829.81,842.33,836.02
849.78,843.08,852.22,846.26
849.57,832.31,847.50,839.58
849.45,849.19,849.93,847.94
853.23,856.13,855.36,854.01
859.92,857.65,859.89,849.96
847.45,850.73,847.19,838.75
851.53,842.25,852.98,843.06
846.80,855.48,850.40,848.74
856.93,852.58,855.73,850.41
845.11,858.71,854.65,847.15
853.46,851.75,855.07,847.23
826.07,824.92,819.17,820.30
851.33,848.46,851.06,846.91
832.44,831.18,827.16,830.38
869.66,857.72,869.88,860.25
857.76,845.14,850.07,849.98
862.77,858.75,865.25,857.28
867.77,861.05,869.89,860.18
870.87,872.13,872.18,862.46
871.87,878.66,874.28,874.82
881.29,880.25,881.69,875.83
872.29,872.29,874.59,867.18
846.95,866.63,869.21,848.15
844.85,853.98,856.28,845.85
841.14,839.18,837.95,827.94
836.63,839.79,840.26,824.04
841.88,814.18,838.76,819.50
842.12,837.48,841.66,827.20
845.36,843.36,853.89,837.48
850.97,849.77,848.26,841.71
852.59,848.05,854.73,849.25
856.36,857.98,859.41,852.92
848.39,847.25,847.00,847.48
849.56,859.74,862.92,849.34
849.21,854.25,858.18,849.74
846.89,846.22,851.05,841.31
846.08,844.35,850.99,843.31
829.73,833.61,830.97,820.60
842.79,841.38,844.17,836.90
847.79,845.62,853.26,846.85
854.79,820.80,837.52,840.34
861.60,857.12,866.92,860.25
853.32,853.95,855.94,853.99
849.93,851.65,850.27,843.50
857.82,861.50,860.95,857.96
874.75,867.69,873.96,866.09
884.66,881.51,886.25,879.26
885.48,898.10,900.58,885.16
887.78,896.71,900.97,887.19
933.47,930.92,945.34,925.51
932.42,920.69,936.68,924.29
941.36,942.39,950.15,941.20
