69.43,67.62,68.88,67.77
69.64,68.69,69.72,69.18
69.36,67.45,68.63,67.82
68.26,68.55,68.39,68.13
68.95,67.13,69.62,67.11
69.24,64.87,67.59,67.52
66.46,69.28,68.89,65.38
65.27,67.75,67.77,65.39
67.89,67.14,69.03,67.21
66.69,65.43,66.40,66.58
67.02,66.30,67.32,65.72
66.62,66.87,67.72,65.36
66.72,66.12,66.91,65.43
66.00,66.60,66.83,66.54
66.07,65.13,66.05,66.72
65.64,66.07,66.48,65.06
64.98,64.30,65.19,64.85
65.69,64.71,65.15,64.32
65.76,64.52,64.96,64.98
63.86,65.04,64.89,62.71
65.51,65.64,65.76,64.67
65.72,65.34,66.08,66.15
65.61,66.11,66.05,65.38
66.57,65.55,66.06,65.27
66.14,64.95,66.25,64.69
67.64,67.15,67.98,67.27
64.21,66.31,67.04,62.78
65.60,64.47,66.05,63.66
64.46,64.57,65.47,63.99
62.19,65.49,65.05,63.17
53.31,59.06,58.39,52.76
55.47,54.82,55.72,54.55
56.88,56.26,56.87,55.31
51.20,54.60,54.00,51.50
51.39,53.90,53.27,52.00
55.51,55.47,55.61,54.35
50.58,52.86,52.15,50.83
52.97,52.86,53.06,52.14
52.85,52.25,52.37,52.87
53.30,52.95,53.34,53.13
53.20,53.31,53.53,53.20
52.64,52.96,52.92,52.31
44.89,46.87,46.32,43.87
52.90,52.51,53.17,52.39
53.16,53.85,54.55,52.55
53.37,54.80,55.47,52.52
56.24,56.33,56.42,55.93
57.50,55.83,57.48,56.16
57.27,57.53,57.30,57.40
56.04,57.12,56.98,55.65
57.14,57.78,57.59,57.53
58.11,56.98,58.08,57.15
58.15,57.21,58.28,57.44
57.26,57.25,57.43,56.79
56.24,56.10,56.73,56.12
55.99,56.03,56.27,55.70
56.76,56.86,56.62,55.85
56.12,56.88,56.69,55.82
56.51,56.09,55.99,55.76
56.52,55.84,55.98,55.83
56.74,56.35,56.81,56.26
58.81,57.24,59.34,57.41
58.17,58.38,58.12,58.01
59.31,59.07,59.48,59.20
58.28,59.70,59.29,58.10
57.98,57.72,57.71,57.24
58.82,58.47,59.12,58.64
58.18,58.18,58.71,58.14
56.75,58.84,58.49,56.86
57.01,58.06,57.95,56.94
57.06,57.15,57.56,56.82
57.28,55.53,56.15,55.46
56.58,57.59,57.42,57.08
57.03,57.78,57.67,56.69
56.86,57.45,56.96,57.08
57.12,55.92,57.08,56.51
57.34,57.51,57.13,57.05
57.18,57.78,57.41,57.38
57.16,58.13,57.94,56.87
56.34,57.53,57.62,56.37
56.86,55.34,56.48,56.46
56.26,57.30,58.15,56.59
56.59,56.08,55.93,55.86
56.11,56.72,56.47,56.25
56.31,56.57,56.68,56.32
55.55,56.17,56.57,54.80
51.43,52.96,52.94,51.52
52.19,51.62,52.70,52.44
52.99,52.85,52.59,52.72
52.77,52.46,52.44,52.36
52.01,51.49,52.12,51.96
52.84,52.26,52.97,51.61
52.34,52.32,52.20,53.02
53.12,53.25,53.70,53.29
53.19,53.33,53.73,53.17
53.08,53.23,53.11,52.86
53.38,53.28,53.38,52.91
53.58,52.07,54.23,51.38
53.44,53.92,53.98,53.42
53.13,53.92,54.01,53.23
